[2026-04-20T17:08:59.269Z] LOG   Scraping jobs...
[2026-04-20T17:10:33.463Z] LOG   [scraper] https://careers.cookunity.com/open-roles?gh_jid=7529067003
[2026-04-20T17:10:34.496Z] LOG   [scraper] https://careers.cookunity.com/open-roles?gh_jid=7676020003
[2026-04-20T17:10:34.505Z] LOG   [scraper] https://careers.cookunity.com/open-roles?gh_jid=7497337003
[2026-04-20T17:10:34.659Z] LOG   [scraper] https://careers.cookunity.com/open-roles?gh_jid=6496609003
[2026-04-20T17:10:34.670Z] LOG   [scraper] https://careers.cookunity.com/open-roles?gh_jid=7643155003
[2026-04-20T17:10:34.714Z] LOG   [scraper] https://careers.cookunity.com/open-roles?gh_jid=7689184003
[2026-04-20T17:10:35.845Z] LOG   [scraper] https://careers.cookunity.com/open-roles?gh_jid=7592543003
[2026-04-20T17:10:35.959Z] LOG   [scraper] https://boards.greenhouse.io/spacex/jobs/8495838002?gh_jid=8495838002
[2026-04-20T17:10:35.981Z] LOG   [scraper] https://boards.greenhouse.io/spacex/jobs/8399574002?gh_jid=8399574002
[2026-04-20T17:10:36.064Z] LOG   [scraper] https://boards.greenhouse.io/spacex/jobs/8426303002?gh_jid=8426303002
[2026-04-20T17:10:36.109Z] LOG   [scraper] https://boards.greenhouse.io/spacex/jobs/8436532002?gh_jid=8436532002
[2026-04-20T17:10:37.117Z] LOG   [scraper] https://boards.greenhouse.io/spacex/jobs/8441155002?gh_jid=8441155002
[2026-04-20T17:10:37.210Z] LOG   [scraper] https://boards.greenhouse.io/spacex/jobs/8427546002?gh_jid=8427546002
[2026-04-20T17:10:37.292Z] LOG   [scraper] https://boards.greenhouse.io/spacex/jobs/8495870002?gh_jid=8495870002
[2026-04-20T17:10:37.338Z] LOG   [scraper] https://boards.greenhouse.io/spacex/jobs/8326515002?gh_jid=8326515002
[2026-04-20T17:10:37.474Z] LOG   [scraper] https://boards.greenhouse.io/spacex/jobs/8476089002?gh_jid=8476089002
[2026-04-20T17:10:38.346Z] LOG   [scraper] https://boards.greenhouse.io/spacex/jobs/8510610002?gh_jid=8510610002
[2026-04-20T17:10:38.357Z] LOG   [scraper] https://boards.greenhouse.io/spacex/jobs/8199766002?gh_jid=8199766002
[2026-04-20T17:10:38.366Z] LOG   [scraper] https://boards.greenhouse.io/spacex/jobs/8420343002?gh_jid=8420343002
[2026-04-20T17:10:38.503Z] LOG   [scraper] https://boards.greenhouse.io/spacex/jobs/8484090002?gh_jid=8484090002
[2026-04-20T17:10:38.503Z] LOG   [scraper] https://boards.greenhouse.io/spacex/jobs/8466748002?gh_jid=8466748002
[2026-04-20T17:10:39.456Z] LOG   [scraper] https://boards.greenhouse.io/spacex/jobs/8501548002?gh_jid=8501548002
[2026-04-20T17:10:39.463Z] LOG   [scraper] https://boards.greenhouse.io/spacex/jobs/8387092002?gh_jid=8387092002
[2026-04-20T17:10:39.494Z] LOG   [scraper] https://boards.greenhouse.io/spacex/jobs/8511245002?gh_jid=8511245002
[2026-04-20T17:10:39.511Z] LOG   [scraper] https://boards.greenhouse.io/spacex/jobs/8426398002?gh_jid=8426398002
